image,deltaZ,labels,energies
7,1,0.1.Ir0.Au13,-115.67192
7,1,0.2.Ir0.Au14,-114.98596
7,1,0.3.Ir0.Au15,-115.69634
7,1,0.4.Ir0.Au8,-115.43906
7,1,0.5.Ir0.Au9,-115.36265
7,1,0.6.Ir0.Au10,-115.41232
7,1,0.7.Ir0.Au11,-115.44176
7,1,1.0.Ir1.Au12,-115.1177
7,1,1.1.Ir1.Au13,-115.65921
7,1,1.2.Ir1.Au14,-114.98779
7,1,1.3.Ir1.Au15,-115.69678
7,1,1.4.Ir1.Au8,-115.39058
7,1,1.5.Ir1.Au9,-115.41591
7,1,1.6.Ir1.Au10,-115.4048
7,1,1.7.Ir1.Au11,-115.43007
7,-1,0.0.Au0.Ir12,-115.86331
7,-1,0.1.Au0.Ir13,-115.80769
7,-1,0.2.Au0.Ir14,-115.97291
7,-1,0.3.Au0.Ir15,-115.79251
7,-1,0.4.Au0.Ir8,-116.09766
7,-1,0.5.Au0.Ir9,-116.14073
7,-1,0.6.Au0.Ir10,-116.06816
7,-1,0.7.Au0.Ir11,-116.13853
7,-1,1.0.Au1.Ir12,-115.86692
7,-1,1.1.Au1.Ir13,-115.79413
7,-1,1.2.Au1.Ir14,-115.97043
7,-1,1.3.Au1.Ir15,-115.78838
7,-1,1.4.Au1.Ir8,-116.04462
7,-1,1.5.Au1.Ir9,-116.18995
7,-1,1.6.Au1.Ir10,-116.06072
7,-1,1.7.Au1.Ir11,-116.13129
8,1,0.0.Ir0.Au12,-115.20776
8,1,0.1.Ir0.Au13,-115.76515
8,1,0.2.Ir0.Au14,-115.03068
8,1,0.3.Ir0.Au15,-115.76779
8,1,0.4.Ir0.Au8,-115.52372
8,1,0.5.Ir0.Au9,-115.45768
8,1,0.6.Ir0.Au10,-115.52536
8,1,0.7.Ir0.Au11,-115.53959
8,1,1.0.Ir1.Au12,-115.20417
8,1,1.1.Ir1.Au13,-115.75457
8,1,1.2.Ir1.Au14,-115.03323
8,1,1.3.Ir1.Au15,-115.77326
8,1,1.4.Ir1.Au8,-115.48048
8,1,1.5.Ir1.Au9,-115.50775
8,1,1.6.Ir1.Au10,-115.5198
8,1,1.7.Ir1.Au11,-115.5283
8,-1,0.0.Au0.Ir12,-115.96945
8,-1,0.1.Au0.Ir13,-115.93269
8,-1,0.2.Au0.Ir14,-116.07759
8,-1,0.3.Au0.Ir15,-115.93356
