labels,image number,DFT Binding Energy,Alchemy Binding Energy,BE Absolute Errors,Transmutation Site Index,ESP Difference at Transmute Site,DFT Activation Energy,Alchemy Activation Energy,Ea Absolute Errors
0.4.Ir0.Au8,4,-0.04957600000003026,-0.08150000000000546,0.031923999999975194,8,-0.3610000000000042,0.01099999999999568,0.03649999999998954,0.02549999999999386
0.5.Ir0.Au9,4,-0.04761699999997404,-0.07980000000000587,0.032183000000031825,9,-0.3593000000000046,0.010919999999998709,0.011199999999988108,0.00027999999998939984
0.6.Ir0.Au10,4,-0.0605160000000069,-0.09370000000001255,0.03318400000000565,10,-0.3732000000000113,-0.057390000000026475,-0.00940000000001362,0.047990000000012856
0.7.Ir0.Au11,4,-0.0553989999999942,-0.08970000000000766,0.03430100000001346,11,-0.3692000000000064,-0.02529000000004089,-0.006100000000003547,0.019190000000037344
1.0.Ir1.Au12,4,-0.14962299999996276,-0.1967999999999961,0.04717700000003333,12,-0.47860000000000014,-0.822829999999982,-0.7314000000000078,0.09142999999997414
1.1.Ir1.Au13,4,-0.03988599999999565,-0.06319999999999482,0.02331399999999917,13,-0.34499999999999886,-0.014130000000022847,-0.057800000000000296,0.04366999999997745
1.2.Ir1.Au14,4,-0.05398399999995718,-0.06869999999999266,0.014716000000035478,14,-0.3504999999999967,-0.05345000000002642,-0.016199999999997772,0.03725000000002865
1.3.Ir1.Au15,4,-0.0455029999999681,-0.06889999999998508,0.023397000000016988,15,-0.35069999999998913,0.00354999999998995,-0.03839999999999577,0.04194999999998572
1.4.Ir1.Au8,4,-0.04998599999996145,-0.07920000000000016,0.02921400000003871,8,-0.3610000000000042,0.017269999999996344,0.031799999999989836,0.014529999999993493
1.5.Ir1.Au9,4,-0.046750000000002956,-0.07750000000000057,0.030749999999997613,9,-0.3593000000000046,0.001519999999970878,0.006499999999988404,0.004980000000017526
1.6.Ir1.Au10,4,-0.057738999999997986,-0.09140000000000725,0.03366100000000927,10,-0.3732000000000113,-0.07433000000003176,-0.014100000000013324,0.060230000000018435
1.7.Ir1.Au11,4,-0.05427199999994059,-0.08740000000000236,0.033128000000061775,11,-0.3692000000000064,-0.038170000000064874,-0.010800000000003251,0.027370000000061623
0.0.Au0.Ir12,4,0.1466850000000477,0.1991000000000014,0.05241499999995369,12,-0.47860000000000014,0.428089999999969,0.7267000000000081,0.2986100000000391
0.1.Au0.Ir13,4,0.02850800000001641,0.06550000000000011,0.036991999999983705,13,-0.34499999999999886,0.026299999999991996,0.05310000000000059,0.026800000000008595
0.2.Au0.Ir14,4,0.02752799999998956,0.07099999999999795,0.04347200000000839,14,-0.3504999999999967,-0.043630000000007385,0.011499999999998067,0.05513000000000545
0.3.Au0.Ir15,4,0.034428000000019665,0.07119999999999038,0.03677199999997072,15,-0.35069999999998913,0.012729999999976371,0.033699999999996066,0.020970000000019695
0.4.Au0.Ir8,4,0.060119000000014466,0.08150000000000546,0.02138099999999099,8,-0.3610000000000042,-0.054200000000008686,-0.03649999999998954,0.017700000000019145
0.5.Au0.Ir9,4,0.06634900000003086,0.07980000000000587,0.01345099999997501,9,-0.3593000000000046,0.012889999999970314,-0.011199999999988108,0.024089999999958422
0.6.Au0.Ir10,4,0.07287900000002878,0.09370000000001255,0.02082099999998377,10,-0.3732000000000113,-0.021710000000012997,0.00940000000001362,0.031110000000026616
0.7.Au0.Ir11,4,0.06948900000003277,0.08970000000000766,0.020210999999974888,11,-0.3692000000000064,-0.007520000000027949,0.006100000000003547,0.013620000000031496
